Iteration,Noise Level,Basis Shape Error (%),Basis Motion Error (%),Rotation Shape Error (%),Rotation Motion Error (%)
36,0.36,127.67379273170461,100.69330826457667,124.93436299456053,100.59675044632743
37,0.37,127.90701220686189,100.48837543235307,121.71047540647312,100.22686342229945
38,0.38,116.06830378308028,100.15333736337702,117.33437654158985,100.13815785284135
39,0.39,120.7238024769364,100.1028895984004,123.39201059012737,100.18419096504323
40,0.4,121.57529567600204,100.2740541718691,122.64053589701756,100.40688213723735
41,0.41000000000000003,119.85300960413166,100.30799489902628,125.69026706750233,100.42888324130854
42,0.42,129.8720686024475,100.32887814077931,129.0759046211791,100.26992220577344
43,0.43,114.14932596493766,99.88495029028233,121.24315821111871,99.89845712512458
44,0.44,126.61258740146637,100.39976623448655,124.71433405588812,100.29107926618563
45,0.45,122.09992936902945,99.78850113421721,124.75155030259766,99.93620619305861
46,0.46,127.06232506935864,100.49036485271377,119.75257450865999,100.34177557833365
47,0.47000000000000003,123.59073958567078,100.20910679498294,123.89761625327644,100.33330011925352
48,0.48,122.81561397156354,100.43136058042612,127.05979970825769,100.43692625213221
49,0.49,123.76944097503619,99.58742781706164,125.53881368167015,99.918877860482
50,0.5,112.41293544036395,99.56340947661316,116.64467381256347,99.82196049677567
51,0.51,128.12188203744384,100.56769536107917,128.96420245867185,100.5051208381019
52,0.52,128.30960413536152,100.34339061778459,122.65860970179227,100.07674532031004
53,0.53,116.80605585973451,99.78225505009148,114.88271785728689,99.88932930486989
54,0.54,126.90285148769797,100.46247033109947,119.52094776126891,100.31759939492008
55,0.55,111.55865998947677,99.9268162430685,114.02427330044426,100.03773626596934
56,0.56,123.72098574296994,100.10869012897628,125.19100411781778,100.13144349305271
57,0.5700000000000001,118.31873755293503,99.99218043181537,116.44375808202425,99.8570268814116
58,0.58,110.03018718950557,99.66922397469857,113.7320831708949,99.71552130186275
59,0.59,125.11691952844598,100.04484732278904,125.9513591889609,100.12513908490004
60,0.6,130.66822869333748,100.8899400369393,129.55300765391306,100.86096328446182
61,0.61,114.08744680804045,99.68392173033952,113.24699982030468,99.59692321322522
62,0.62,110.63965883535758,99.94633794567322,114.0864290479245,99.87422136718853
63,0.63,125.60256691108458,100.1930149919757,131.49617987595147,100.55966832621428
64,0.64,135.41711440950778,100.5171239520124,135.90664631379724,100.62249792188705
65,0.65,127.00584574719673,100.15565803546022,126.80184186970058,100.12523010967524
66,0.66,123.24615733405071,99.6552865553466,118.25984135392915,99.595005898379
67,0.67,112.53363575715471,99.56448298696003,111.51419066421204,99.64604464328167
68,0.68,122.83008346772313,100.00588300516992,121.41246976109797,100.23977256247719
69,0.6900000000000001,115.32461348017628,99.98823537797216,119.55765865252472,100.14769096564741
70,0.7000000000000001,137.09669701546844,100.84044444956825,135.8803696333998,100.77189179045196
71,0.71,122.42938373919321,100.20615331863856,119.2648431865479,100.00954085713258
72,0.72,124.4044815319288,100.19836094410832,125.01089919064519,100.11119470524679
73,0.73,114.71611107645737,99.74771811632321,113.50877962677208,99.78787211532672
74,0.74,129.66557279957226,100.54273361533366,124.72214696481272,100.28263706314266
75,0.75,121.68500533525149,100.44615590921731,121.71790539083753,100.43432230580638
76,0.76,120.5949674492848,100.14722222912422,120.53234480039117,100.1475856238893
77,0.77,116.0248593319304,99.9447540177998,116.2916440586095,100.02718199644865
78,0.78,112.16965525171861,99.34611489244053,113.96471460885111,99.47132267704605
79,0.79,118.09224073588362,99.87229794080409,115.52248992800713,99.79754650196055
80,0.8,121.43516760402223,100.10535480713915,120.65151646583922,100.0516639651869
81,0.81,127.42425493038432,100.4398555183412,129.32478093030977,100.46867563360946
82,0.8200000000000001,100.12663889274671,98.88384707240138,99.82534804149634,98.78801619499707
83,0.8300000000000001,125.02489847470824,99.95535492334535,122.78625329276474,99.92605647234552
84,0.84,122.297036732921,99.83614261436001,123.34643136641638,99.92421000256738
85,0.85,128.8752340631888,100.27339570395289,127.40996563285232,100.32741835311572
86,0.86,125.19774386741209,100.1342537346023,123.3138002983303,99.94764127291774
87,0.87,117.63732165380301,99.9232694334144,124.92069437438873,100.20168746305708
88,0.88,119.90308419493405,99.78121832791909,122.25678983597965,99.85606452127205
89,0.89,118.98452119531309,99.98716502513628,119.9470648599345,100.05720938464842
90,0.9,126.44609839694357,100.43234172519915,123.50117467952376,100.1548409659288
91,0.91,121.19519677010588,99.97427676429666,117.4987312767462,99.775602664303
92,0.92,120.10636220620954,99.92740018256384,120.87996531758678,99.84456086769889
93,0.93,122.52452036775341,100.17776722683803,126.73291194479215,100.34197779726813
94,0.9400000000000001,110.02216843011104,99.96170937995898,111.35955395334898,99.98575843454597
95,0.9500000000000001,125.79572737322253,100.1550619970359,124.55345171575433,100.08786016760227
96,0.96,131.32892281981802,100.55492565334585,132.1839394742981,100.57604308702423
97,0.97,114.05025048536027,99.52248404423186,116.29767103009519,99.71563419187619
98,0.98,124.01084652866838,100.68714023175022,121.44949786557406,100.4708713607669
99,0.99,120.52256942465847,100.03022968518292,115.89559430233336,99.97013397533576
