Method,Iteration,Shape Error (%),Motion Error (%)
Rotation Constraints,7,10444.583610241605,46424.02135754592
Rotation Constraints,8,10481.398788389411,49671.15755761739
Rotation Constraints,9,10437.743240613276,44969.99732048679
Rotation Constraints,10,10262.119342992233,41118.48316619719
Rotation Constraints,11,10282.739719811969,45184.280159698494
Rotation Constraints,12,10301.501426279212,49832.67000697099
Rotation Constraints,13,10209.630330913193,43918.3303431156
Rotation Constraints,14,10141.36670106471,46046.9672420947
Rotation Constraints,15,10383.12421460469,51016.947890927244
Rotation Constraints,16,10076.723169508245,42778.679968556964
Rotation Constraints,17,9763.74541881312,47729.79538566888
Rotation Constraints,18,10192.932843632872,41300.46641251574
Rotation Constraints,19,10005.183861781135,44101.95679847715
Rotation Constraints,20,10058.682626723643,46994.335017756996
Rotation Constraints,21,10231.891076788303,45600.2674453112
Rotation Constraints,22,10484.561615567753,43500.91068349378
Rotation Constraints,23,10039.594893510559,46590.36251215037
Rotation Constraints,24,10497.2196814307,43385.230010940446
Rotation Constraints,25,10336.071301843182,42920.55839015935
Rotation Constraints,26,10684.612207692135,49920.68321936262
Rotation Constraints,27,9818.144877303017,44549.79378062854
Rotation Constraints,28,10122.287074823607,43611.70873228895
Rotation Constraints,29,10981.017172458993,47532.5993356956
Rotation Constraints,30,10050.296485898516,40563.212921137674
Rotation Constraints,31,10105.66012580435,46219.677937297056
Rotation Constraints,32,10405.92856162339,47242.67886135877
Rotation Constraints,33,10110.153974784953,50140.6153944636
Rotation Constraints,34,10104.666456494853,44673.49387219939
Rotation Constraints,35,9907.672441559731,47685.9395021185
Rotation Constraints,36,10205.788456136861,49301.206817857295
Rotation Constraints,37,10240.64216514654,44317.78914820707
Rotation Constraints,38,10381.797467703904,45680.96889263718
Rotation Constraints,39,10053.50394443531,45863.862342013905
Rotation Constraints,40,10325.902258768403,44950.967908703766
Rotation Constraints,41,10165.14905102552,44121.785192296324
Rotation Constraints,42,10189.562961058295,46036.415559185516
Rotation Constraints,43,10494.748198015897,48015.924297964004
Rotation Constraints,44,10183.669394384513,48658.973261655396
Rotation Constraints,45,10327.856212884853,44668.94027459555
Rotation Constraints,46,10372.38069753934,45122.36054985784
Rotation Constraints,47,10314.138031073619,46816.13206967809
Rotation Constraints,48,10115.04950545371,44071.28824264229
Rotation Constraints,49,10008.424250528298,43930.28568409262
Rotation Constraints,50,10560.008244452245,48227.40193917108
Rotation Constraints,51,10419.64050324388,46401.76470242145
Rotation Constraints,52,10443.711929071602,45717.51581289033
Rotation Constraints,53,9873.508563376332,41575.586435306315
Rotation Constraints,54,10403.061756135598,46198.68562535132
Rotation Constraints,55,10191.412120566392,42065.217299556934
Rotation Constraints,56,10057.970972780498,48528.45562405399
Rotation Constraints,57,10081.345042631272,45332.741961036016
Rotation Constraints,58,10493.624404138574,46431.11519404492
Rotation Constraints,59,10711.02126403284,45679.08591283018
Rotation Constraints,60,10027.684020975628,44417.61702823456
