Iteration,Noise Level,Basis Shape Error (%),Basis Motion Error (%),Rotation Shape Error (%),Rotation Motion Error (%),,Basis,Rotation
78,0.078,128.793811,100.6706887,128.9750392,100.5040595,,0,1
79,0.079,117.4967122,99.77748179,123.2903702,99.94709654,,1,0
80,0.08,133.0766915,100.5032659,131.9321026,100.5462947,,1,0
81,0.081,124.0836775,100.0113437,130.0923751,100.2311101,,1,0
82,0.082,111.2388251,99.80007345,112.168928,99.81420409,,1,0
83,0.083,120.8967845,100.1950647,118.5355557,100.1235929,,0,1
84,0.084,124.7465036,99.86999211,125.1564652,99.83072918,,0,1
85,0.085,118.7442773,99.89811515,110.0241926,99.73739738,,0,1
86,0.086,127.7990309,100.3120598,123.9840051,100.2642992,,0,1
87,0.087,127.1087633,100.5827403,120.6696045,100.3429279,,0,1
88,0.088,111.6546777,99.95135683,121.1400272,100.4926578,,1,0
89,0.089,118.9115823,99.93804395,117.1401716,99.88469986,,0,1
90,0.09,118.735424,100.0339154,119.0475438,100.1480442,,1,0
91,0.091,117.4855288,100.0551401,117.3941939,100.1898707,,1,0
92,0.092,112.2579037,99.78897511,112.0614469,99.80322618,,1,0
93,0.093,129.1165886,100.2044735,127.1749346,100.1735288,,0,1
94,0.094,124.3828604,100.2189503,124.5827235,100.337988,,1,0
95,0.095,110.5177705,99.9441316,113.8785842,100.1162073,,1,0
96,0.096,126.3680054,100.1092158,132.4542093,100.2702359,,1,0
97,0.097,112.2690841,99.41475591,118.2045691,99.55494489,,1,0
98,0.098,124.6007169,100.2094115,120.8505185,100.0604834,,0,1
99,0.099,131.8873814,99.98037308,130.5507911,100.0839821,,1,0
100,0.1,125.7867311,100.2466107,125.5566978,100.252579,,1,0
101,0.101,128.1963835,100.4359996,117.7837654,99.77867193,,0,1
102,0.102,126.6928875,100.2532,128.0310014,100.2548521,,1,0
103,0.103,119.3227384,100.0551569,117.6077467,99.90511904,,0,1
104,0.104,119.6092992,99.86553732,121.9473268,100.1063101,,1,0
105,0.105,125.7009518,100.2333945,123.9163255,100.0601554,,0,1
106,0.106,123.9674203,100.2504463,128.2693466,100.2940035,,1,0
107,0.107,120.7411768,99.94705189,128.2822723,100.2738827,,1,0
108,0.108,133.3996333,100.5127261,123.3374585,100.1922908,,0,1
109,0.109,120.124658,99.78473084,126.3466764,100.1256468,,1,0
110,0.11,123.4945623,100.1882181,128.3280235,100.3260752,,1,0
111,0.111,124.1036735,99.93477694,120.8768227,99.85566808,,0,1
112,0.112,118.3072325,99.92640772,115.4082874,99.86449604,,0,1
113,0.113,113.7158188,99.81734454,112.1499817,99.63025121,,0,1
114,0.114,118.4266861,99.69605735,117.3429093,99.55557114,,0,1
115,0.115,113.1446217,99.58283965,108.7454254,99.44530287,,0,1
