Iteration,Noise Level,Basis Shape Error (%),Basis Motion Error (%),Rotation Shape Error (%),Rotation Motion Error (%)
30,0.3,104.4536777551674,101.4384379822074,133.21906015198303,100.25986244514769
31,0.31,103.38319885556034,101.59539147989278,106.14928817633054,99.54188243372884
32,0.32,103.12964764497804,98.88729480557569,116.89551279440724,99.50938880556086
33,0.33,105.84796535715462,100.95036694316049,104.15734971928059,99.24318017085348
34,0.34,104.39146364981879,100.29195971292889,116.7031803350173,99.76539553278428
35,0.35000000000000003,104.7959527878636,101.17560230891418,124.20109223517144,100.09954397407866
36,0.36,102.73222201451786,100.77509654758452,122.91217107426182,99.9361209325859
37,0.37,107.04849733967434,102.26022218119815,110.17529824223469,99.87320764278918
38,0.38,98.59704601800307,98.54516304306806,120.28353866041164,99.96137462434952
39,0.39,101.74263973419701,100.51309089112807,124.74563089585774,100.28216364181742
40,0.4,103.70858256069602,101.48640265649244,114.2026468133958,99.90589765771172
41,0.41000000000000003,102.39421156486448,99.46714976621959,132.45967524655487,100.12578222600747
42,0.42,105.96131995432796,101.29611401704754,104.1634794171665,99.42337701778979
43,0.43,101.98054702204476,100.49210636151216,119.51534405466934,100.13960437494933
44,0.44,102.83273021033517,100.43976134555139,112.50246274002352,99.78853630060918
45,0.45,99.80845160618489,100.42948178518319,126.70600470016542,100.48119950053305
46,0.46,101.80652647808954,100.4619728029268,124.74273001892789,100.43285973485352
47,0.47000000000000003,105.53506888989021,100.37980177105004,129.84953957773,100.53261480503173
48,0.48,101.5840298865303,99.94632577587569,125.20962120364683,100.03457166983726
49,0.49,100.76431538173067,100.20062741762476,117.73397405234203,99.88844537521541
50,0.5,105.28647888494822,101.46698726898774,113.59614055145968,99.40457409949522
51,0.51,104.56685486522699,101.51011222428501,121.71741952984647,99.67010652712726
52,0.52,104.11750657017156,101.75543693687182,130.45586628307967,100.16750609536504
53,0.53,107.64789751904127,100.95671176694067,118.83902451871553,99.83537783861945
54,0.54,101.6303980202517,100.81687275402489,112.68159556323197,99.72338890741297
55,0.55,100.33106825610116,99.75772071292006,103.673235483341,99.67361952236476
56,0.56,103.27722111235622,101.49149380187426,116.24768573419801,100.00783336436827
57,0.5700000000000001,105.34406691066222,101.47399768864776,117.66665347864591,99.9193648535413
58,0.58,99.06851935712416,98.77667030279949,120.36528625192548,99.86089198588836
59,0.59,103.50064059473078,100.84013370675817,116.93377817984344,99.88077753224478
60,0.6,101.05753848018779,100.20244333305067,120.31388719658524,99.95955099198432
61,0.61,99.3413113733149,99.40502498948345,126.05479205363113,100.26541543256546
62,0.62,103.52083806984507,100.8379695918602,114.73725375405184,99.89392212648093
63,0.63,100.5738217092717,99.96664042022095,126.06170960726055,99.64399775222064
64,0.64,104.07575241295524,100.58027137242505,116.54338577643317,99.88818121459236
65,0.65,99.94945691009761,99.03874950644699,116.56447532911005,100.11564087444782
66,0.66,108.37101036030393,101.51031434848234,124.17189497488981,100.4651100793656
67,0.67,101.32996153289322,99.64714332173675,116.67609558755427,99.91711032337088
68,0.68,107.17047055642676,102.1736220514041,129.22014407741088,100.2702192978275
69,0.6900000000000001,105.1234187259807,101.41140803373926,125.6737834792283,100.76115098184506
70,0.7000000000000001,105.59780817479268,101.23570956368089,118.56047348099423,100.15638646483774
71,0.71,105.15662186672753,100.80570173733987,123.14326320357858,99.82672379577137
72,0.72,104.93779042050842,100.91404400529913,121.38373452295286,100.12494975923951
73,0.73,104.55039769565325,101.23418180447213,124.0227567339605,99.97852287371586
74,0.74,102.85300605823431,100.9700791428715,117.28563536299833,99.72476930946368
75,0.75,106.88726641212789,102.04520207156553,133.8649380662845,100.83156875882484
76,0.76,103.93683441928513,100.49793952028341,128.91640379863293,100.17018540075289
77,0.77,104.11344370791187,101.20722187564715,119.43623167641016,99.9058230678502
78,0.78,101.77098839983299,99.5846880112158,112.37709102893338,99.74433242268685
79,0.79,105.1028809214067,101.21919207123649,131.6063996746515,100.19414936525722
80,0.8,102.66686985523586,99.8764356966846,129.4997499830486,100.54025920750509
